subject,Anthropic/claude-3-5-sonnet-20241022,CohereLabs/aya-23-35B,Google/gemini-15-Pro-002,OpenAI/gpt-4o-2024-08-06,OpenAI/o1-preview-2024-09-12,Qwen/Qwen2.5-32B,deepseek-ai/DeepSeek-R1,deepseek-ai/DeepSeek-V3-0324,meta-llama/Llama-3.1-405B,microsoft/phi-4,mistralai/Pixtral-12B-2409
elementary_mathematics,1.4581727067540953,1.448411596362408,1.3570136102677066,1.403871229653052,1.403871229653052,1.442352232136496,1.5530035108757498,1.5530035108757498,1.6006519330000915,1.6165206549792122,1.4875629745781915
global_facts,1.859972958525099,1.8293004342557293,1.6708990608440653,1.7244679434396792,1.7244679434396792,1.8317924193167887,1.9900179598850845,1.9900179598850845,2.07587411718317,2.1134317597708927,1.8858954381961377
high_school_geography,2.2767750817198573,2.5226874986393484,2.270110729262673,2.199332886139326,2.199332886139326,2.455398029942664,2.608757639178242,2.608757639178242,2.7224556223292877,2.7661277602329877,2.569581831806293
high_school_microeconomics,2.348901872031159,2.4898125156235786,2.2412113935624283,2.1658056755594646,2.1658056755594646,2.474580109523968,2.6022550682970693,2.6022550682970693,2.7156621910732546,2.7637117866583436,2.571955466205288
international_law,2.4251787693389293,2.4773875267881937,2.21511102992753,2.1599623390701437,2.1599623390701437,2.4425172596995974,2.582236462970457,2.582236462970457,2.71106629603142,2.7576419780800854,2.5772256540754093
