subject,Anthropic/claude-3-5-sonnet-20241022,CohereLabs/aya-23-35B,Google/gemini-15-Pro-002,OpenAI/gpt-4o-2024-08-06,OpenAI/o1-preview-2024-09-12,Qwen/Qwen2.5-32B,deepseek-ai/DeepSeek-R1,deepseek-ai/DeepSeek-V3-0324,meta-llama/Llama-3.1-405B,microsoft/phi-4,mistralai/Pixtral-12B-2409
elementary_mathematics,0.5983333333333334,0.2722222222222222,0.7927777777777778,0.8094444444444444,0.8905555555555555,0.5527777777777778,0.8888888888888888,0.78,0.7055555555555556,0.4622222222222222,0.3516666666666667
global_facts,0.47888888888888886,0.215,0.56,0.49444444444444446,0.6811111111111111,0.35833333333333334,0.5722222222222222,0.5044444444444445,0.4677777777777778,0.3688888888888889,0.3211111111111111
high_school_geography,0.5266666666666666,0.23,0.5988888888888889,0.6155555555555555,0.7383333333333333,0.3322222222222222,0.6355555555555555,0.5133333333333333,0.4722222222222222,0.3516666666666667,0.35
high_school_microeconomics,0.4672222222222222,0.2816666666666667,0.59,0.6233333333333333,0.7766666666666666,0.37166666666666665,0.6705555555555556,0.5011111111111111,0.4638888888888889,0.35333333333333333,0.34444444444444444
international_law,0.5377777777777778,0.325,0.7066666666666667,0.7,0.7738888888888888,0.5411111111111111,0.7066666666666667,0.5761111111111111,0.6238888888888889,0.5233333333333333,0.425
