subject,Anthropic/claude-3-5-sonnet-20241022,CohereLabs/aya-23-35B,Google/gemini-15-Pro-002,OpenAI/gpt-4o-2024-08-06,OpenAI/o1-preview-2024-09-12,Qwen/Qwen2.5-32B,deepseek-ai/DeepSeek-R1,deepseek-ai/DeepSeek-V3-0324,meta-llama/Llama-3.1-405B,microsoft/phi-4,mistralai/Pixtral-12B-2409
elementary_mathematics,3.193300561176164,2.860740360094672,2.6650111981170053,2.380349214227326,2.380349214227326,2.8411880400153247,2.607283007671881,2.607283007671881,2.706603283846177,2.7310273078156095,3.0890945286850306
global_facts,3.3273495053138333,3.019630422794269,2.745462494050023,2.504500992230636,2.504500992230636,3.016410123623484,2.877608022043837,2.877608022043837,3.0104599587538603,3.0630493823930256,3.287360907637065
high_school_geography,3.5356791696510195,2.9511000405464785,2.597730017586418,2.6230716235224847,2.6230716235224847,2.920884297001213,3.057764505377354,3.057764505377354,3.2674909862569863,3.3217545876771575,3.312380665646786
high_school_microeconomics,3.277076459530412,2.9119221019350037,2.5390369105934147,2.511970653776585,2.511970653776585,2.866415578418147,3.0191590727655466,3.0191590727655466,3.1884485204879733,3.2393804391625025,3.1956773423255207
international_law,3.2669456884889123,2.916220348602882,2.557350130227867,2.5348999043725704,2.5348999043725704,2.883910231347487,3.0284544956749486,3.0284544956749486,3.210257086651429,3.262388446861217,3.206874214711724
