subject,language,Anthropic/claude-3-5-sonnet-20241022,CohereLabs/aya-23-35B,Google/gemini-15-Pro-002,OpenAI/gpt-4o-2024-08-06,OpenAI/o1-preview-2024-09-12,Qwen/Qwen2.5-32B,deepseek-ai/DeepSeek-R1,deepseek-ai/DeepSeek-V3-0324,meta-llama/Llama-3.1-405B,microsoft/phi-4,mistralai/Pixtral-12B-2409
elementary_mathematics,amh,4.79563206283829,6.311188090783275,3.822462950967187,5.4954842232493055,5.4954842232493055,4.6461025885969915,5.7088949793058354,5.7088949793058354,6.884222169772182,6.892788820075864,7.336225023089131
elementary_mathematics,eng,2.159423357111384,1.9319519840335493,1.9227003853839508,1.6418558905228686,1.6418558905228686,1.9344907281625907,1.633298209571008,1.633298209571008,1.6452943296221463,1.6452943296221463,2.03521882322508
elementary_mathematics,ewe,3.2250532423419647,2.652609177543702,2.5386699016484484,2.3651930442416047,2.3651930442416047,2.614548540213507,2.443551311135488,2.443551311135488,2.551925588832634,2.650784806549323,2.9691911790687104
elementary_mathematics,fra,2.40488611204121,1.9536895377134835,1.9433614033745688,1.692027182503282,1.692027182503282,2.095157769894818,1.8102268206641972,1.8102268206641972,1.8525128485720763,1.8531329409373964,2.0525864018734468
elementary_mathematics,hau,2.8992600193375564,2.518288081897814,2.431529891553697,2.049959576421655,2.049959576421655,2.5759918113786555,2.2588569605263293,2.2588569605263293,2.297073333959944,2.3112970011366567,2.680788998382084
elementary_mathematics,ibo,3.427910770294676,2.8906627623993466,2.7771781288462414,2.1023655908915724,2.1023655908915724,2.921694539196926,2.623925690482431,2.623925690482431,2.6228395346485445,2.6593538499964184,3.0303561453061136
elementary_mathematics,kin,3.2190785175433128,2.8480246132746636,2.7890640920536667,2.368748834557146,2.368748834557146,2.966605840520464,2.5830308817866188,2.5830308817866188,2.625963167483344,2.6388425999917335,3.018523328959244
elementary_mathematics,lin,2.5026864257503054,2.160821270630654,2.130126516668686,1.8585941067773728,1.8585941067773728,2.245493359969898,1.965387459844284,1.965387459844284,1.979939044646522,1.9830553565345754,2.3041654265065326
elementary_mathematics,lug,3.2991709487905387,2.9044473142567404,2.8961361271697195,2.4567594729265947,2.4567594729265947,2.992482367997535,2.6504553354582416,2.6504553354582416,2.676883537125729,2.686172502291306,3.0567792505617333
elementary_mathematics,orm,3.4016033089897775,2.9409135013343217,2.8835203867283137,2.435956157879042,2.435956157879042,3.078281952454106,2.718907108711642,2.718907108711642,2.7391547250754935,2.746750339034617,3.1393569294735073
