"model","subject","term","estimate","std_error","t_value","p_value","conf_low","conf_high","n_languages"
"Anthropic_Sonnet35","elementary_mathematics","(Intercept)",0.651728376960381,0.0902377044611316,7.2223510211422,2.96274745654299e-06,0.459391262794345,0.844065491126418,17
"Anthropic_Sonnet35","elementary_mathematics","avg_fertility",-0.017924410626879,0.0294253464811571,-0.609148668422891,0.55154111764464,-0.0806430520120803,0.0447942307583222,17
"Anthropic_Sonnet35","high_school_geography","(Intercept)",0.780986677476362,0.150457309341284,5.19075265200204,0.000109677283223348,0.460294513854735,1.10167884109799,17
"Anthropic_Sonnet35","high_school_geography","avg_fertility",-0.0795258419812458,0.0447107150247913,-1.77867524456163,0.0955620016440297,-0.17482447520249,0.0157727912399982,17
"Anthropic_Sonnet35","international_law","(Intercept)",0.645417748374108,0.0892013193465468,7.23551796209048,2.89950534546462e-06,0.455289636789579,0.835545859958638,17
"Anthropic_Sonnet35","international_law","avg_fertility",-0.0401418361293421,0.0281422776470896,-1.42638903050882,0.17423754723192,-0.100125681031248,0.019842008772564,17
"Anthropic_Sonnet35","global_facts","(Intercept)",0.507644802275878,0.0884903689934082,5.73672375932452,3.93254860532053e-05,0.319032045498462,0.696257559053295,17
"Anthropic_Sonnet35","global_facts","avg_fertility",-0.0107306475660288,0.0274912139352086,-0.390330073867192,0.701779616029543,-0.0693267830151158,0.0478654878830582,17
"Anthropic_Sonnet35","high_school_microeconomics","(Intercept)",0.750320171031627,0.130378845912945,5.75492263164088,3.80297209399777e-05,0.472424239159872,1.02821610290338,17
"Anthropic_Sonnet35","high_school_microeconomics","avg_fertility",-0.0963014094832068,0.0417494776669426,-2.30664944484943,0.0357615448026338,-0.18528831468377,-0.00731450428264403,17
"CohereForAI_Aya23_35B","elementary_mathematics","(Intercept)",0.479736848024235,0.0512559795348851,9.35962696211323,1.18494091637376e-07,0.370487313737383,0.588986382311087,17
"CohereForAI_Aya23_35B","elementary_mathematics","avg_fertility",-0.0787055886986642,0.0193963523495026,-4.05775205979297,0.00103094133330717,-0.120047935099529,-0.0373632422977997,17
"CohereForAI_Aya23_35B","high_school_geography","(Intercept)",0.474879434359808,0.101164241486722,4.69414318123599,0.000288029906354697,0.259252957816035,0.690505910903582,17
"CohereForAI_Aya23_35B","high_school_geography","avg_fertility",-0.0966630238694074,0.0384753575264023,-2.51233594913513,0.0239160064596471,-0.178671307184308,-0.0146547405545074,17
"CohereForAI_Aya23_35B","international_law","(Intercept)",0.578165502357512,0.109144988576638,5.29722445251388,8.95200874557736e-05,0.345528466055711,0.810802538659313,17
"CohereForAI_Aya23_35B","international_law","avg_fertility",-0.10097332428613,0.0420242446247647,-2.4027397800418,0.0296656227983529,-0.190545881394077,-0.0114007671781823,17
"CohereForAI_Aya23_35B","global_facts","(Intercept)",0.335202531940544,0.0628093439832771,5.33682587147846,8.30381479918363e-05,0.20132758425048,0.469077479630607,17
"CohereForAI_Aya23_35B","global_facts","avg_fertility",-0.0441925570222627,0.0228921562079493,-1.9304672142206,0.0726766873784545,-0.0929860329685798,0.00460091892405429,17
"CohereForAI_Aya23_35B","high_school_microeconomics","(Intercept)",0.548558157315238,0.0978161734303622,5.60805169613153,4.99009443954832e-05,0.340067918908697,0.75704839572178,17
"CohereForAI_Aya23_35B","high_school_microeconomics","avg_fertility",-0.105345220390402,0.0379593751137235,-2.77520955165346,0.0141495603905676,-0.186253713226281,-0.024436727554523,17
"DeepSeek_R1","elementary_mathematics","(Intercept)",1.04526008953814,0.109884981188915,9.51231076557339,9.60736113129928e-08,0.811045796319187,1.2794743827571,17
"DeepSeek_R1","elementary_mathematics","avg_fertility",-0.0656458521316713,0.044518560779112,-1.47457264976257,0.161005585245295,-0.160534918273285,0.0292432140099421,17
"DeepSeek_R1","high_school_geography","(Intercept)",0.846949976734587,0.155697209565819,5.43972482934288,6.83712563597749e-05,0.515089230160597,1.17881072330858,17
"DeepSeek_R1","high_school_geography","avg_fertility",-0.0822826607729205,0.0561363074911648,-1.46576546357045,0.163359848075533,-0.201934367864368,0.0373690463185265,17
"DeepSeek_R1","international_law","(Intercept)",0.813167584685244,0.118290449932321,6.87432996620178,5.28477756227309e-06,0.561037458932937,1.06529771043755,17
"DeepSeek_R1","international_law","avg_fertility",-0.0433370558627349,0.0429124261182568,-1.00989526304823,0.32855959828414,-0.134802727011361,0.0481286152858909,17
"DeepSeek_R1","global_facts","(Intercept)",0.573720948157886,0.102548017375632,5.59465665783039,5.11601878257705e-05,0.35514502312454,0.792296873191233,17
"DeepSeek_R1","global_facts","avg_fertility",-0.00233114335241713,0.0381921867561405,-0.0610371793398902,0.952135440552796,-0.0837358624577268,0.0790735757528925,17
"DeepSeek_R1","high_school_microeconomics","(Intercept)",0.887988998161859,0.201228450657262,4.41284020853644,0.000503789266530978,0.459080708454739,1.31689728786898,17
"DeepSeek_R1","high_school_microeconomics","avg_fertility",-0.0883639356509888,0.0740319395491353,-1.19359206565622,0.25117396515547,-0.246159279559902,0.0694314082579244,17
"DeepSeek_V3","elementary_mathematics","(Intercept)",0.884464727972189,0.118474774834662,7.46542653663205,1.99665372122602e-06,0.631941722990553,1.13698773295383,17
"DeepSeek_V3","elementary_mathematics","avg_fertility",-0.0442392536854056,0.0479986109766979,-0.921677789944435,0.371283889139807,-0.146545871239189,0.0580673638683775,17
"DeepSeek_V3","high_school_geography","(Intercept)",0.842835411242027,0.147416224940867,5.71738566484195,4.07527845680653e-05,0.528625165583679,1.15704565690038,17
"DeepSeek_V3","high_school_geography","avg_fertility",-0.123885741394713,0.0531506155797153,-2.33084302116707,0.0341242856347852,-0.23717359681832,-0.0105978859711067,17
"DeepSeek_V3","international_law","(Intercept)",0.770756078737375,0.124479207667462,6.19184595708868,1.72457160001884e-05,0.505434928122923,1.03607722935183,17
"DeepSeek_V3","international_law","avg_fertility",-0.0730366438182915,0.0451575322043776,-1.61737456085369,0.126628633134289,-0.169287645313913,0.0232143576773301,17
"DeepSeek_V3","global_facts","(Intercept)",0.61920343662693,0.0916267297307149,6.75789082996556,6.43726675831995e-06,0.42390568518127,0.814501188072591,17
"DeepSeek_V3","global_facts","avg_fertility",-0.0446211611672625,0.0341247472480284,-1.30758949928458,0.21070016442012,-0.117356338181415,0.02811401584689,17
"DeepSeek_V3","high_school_microeconomics","(Intercept)",0.90561706724623,0.134092806705988,6.75365882401051,6.48381279983253e-06,0.619805015329918,1.19142911916254,17
"DeepSeek_V3","high_school_microeconomics","avg_fertility",-0.15683301173198,0.0493327386242206,-3.17908585871575,0.00622470615627769,-0.261983255053794,-0.0516827684101657,17
"Gemini15_Pro002","elementary_mathematics","(Intercept)",0.906504336229682,0.107978067842024,8.3952635414437,4.73095598662992e-07,0.676354532597376,1.13665413986199,17
"Gemini15_Pro002","elementary_mathematics","avg_fertility",-0.0451836047414717,0.0419056246023514,-1.07822291566408,0.297968788731975,-0.134503329256552,0.0441361197736088,17
"Gemini15_Pro002","high_school_geography","(Intercept)",0.750089626236739,0.177207103755512,4.23284174471705,0.000723328022148279,0.372381625467088,1.12779762700639,17
"Gemini15_Pro002","high_school_geography","avg_fertility",-0.0653789827196814,0.0697551007573216,-0.937264544239356,0.363469240206062,-0.214058460529351,0.083300495089988,17
"Gemini15_Pro002","international_law","(Intercept)",0.796086093623081,0.129260325252046,6.15878145185529,1.82925010481444e-05,0.520574232105699,1.07159795514046,17
"Gemini15_Pro002","international_law","avg_fertility",-0.0391378264856494,0.0516424419024822,-0.757861654945643,0.460275292943644,-0.149211085810292,0.0709354328389934,17
"Gemini15_Pro002","global_facts","(Intercept)",0.585222729042476,0.135779332455789,4.31010168085064,0.000619097926166877,0.295815932583174,0.874629525501778,17
"Gemini15_Pro002","global_facts","avg_fertility",-0.0113437432698369,0.0511278246266532,-0.221870250742555,0.8274072531223,-0.120320121835777,0.0976326352961028,17
"Gemini15_Pro002","high_school_microeconomics","(Intercept)",0.88271743308357,0.165948138555352,5.31923672520821,8.58549335709327e-05,0.529007348573274,1.23642751759387,17
"Gemini15_Pro002","high_school_microeconomics","avg_fertility",-0.128577773876133,0.0669772993696884,-1.91972168310989,0.0741182196472215,-0.271336508180476,0.0141809604282103,17
"Llama31_405B","elementary_mathematics","(Intercept)",0.835810309785862,0.111971023835001,7.46452324145485,1.99955534801379e-06,0.597149721916886,1.07447089765484,17
"Llama31_405B","elementary_mathematics","avg_fertility",-0.0535176062679362,0.0447957100787454,-1.19470382708208,0.250752077759109,-0.148997402158306,0.041962189622433,17
"Llama31_405B","high_school_geography","(Intercept)",0.821817080404998,0.156766890521182,5.24228730743342,9.93915402375948e-05,0.487676362844805,1.15595779796519,17
"Llama31_405B","high_school_geography","avg_fertility",-0.130822787434297,0.0554468421813439,-2.35942719706976,0.0322808242474499,-0.249004934004448,-0.0126406408641474,17
"Llama31_405B","international_law","(Intercept)",0.876457830777751,0.105469463132191,8.3100625029184,5.37425211743904e-07,0.65165499151421,1.10126067004129,17
"Llama31_405B","international_law","avg_fertility",-0.0963714150662648,0.0378222149250034,-2.54801087819307,0.02228567065483,-0.176987557880227,-0.0157552722523022,17
"Llama31_405B","global_facts","(Intercept)",0.685037598163972,0.0884949514066076,7.74097942623224,1.28840784822209e-06,0.496415074204024,0.87366012212392,17
"Llama31_405B","global_facts","avg_fertility",-0.083594122124513,0.032601928306817,-2.5640852080223,0.02158633172161,-0.15308348739845,-0.0141047568505755,17
"Llama31_405B","high_school_microeconomics","(Intercept)",0.952836015580818,0.138078782760754,6.90066928842915,5.05542154137098e-06,0.658528056813961,1.24714397434767,17
"Llama31_405B","high_school_microeconomics","avg_fertility",-0.184922452431383,0.0501003717634247,-3.69103952570635,0.00217871130888973,-0.29170886705891,-0.0781360378038554,17
"Microsoft_Phi4","elementary_mathematics","(Intercept)",0.773103055719063,0.0869633069818132,8.88999145215054,2.29499253559601e-07,0.587745154572302,0.958460956865824,17
"Microsoft_Phi4","elementary_mathematics","avg_fertility",-0.124981851055091,0.0343273994587395,-3.640877346544,0.0024145747437362,-0.19814897103167,-0.0518147310785122,17
"Microsoft_Phi4","high_school_geography","(Intercept)",0.808253829240847,0.139844469629013,5.77966244489342,3.63390571796048e-05,0.510182398001039,1.10632526048065,17
"Microsoft_Phi4","high_school_geography","avg_fertility",-0.161508724702726,0.0483142793736149,-3.3428776501824,0.00444988207008871,-0.264488173517665,-0.058529275887786,17
